stop_id,stop_name,stop_lat,stop_lon
136A12,Br. San Jorge Sur,4.57122943918,-74.12348349034
460A12,Br. Granjas de San Pablo,4.57123183911,-74.11528618363
269A13,INCI,4.57160398808,-74.07699025156
119A11,Pq. El Tunal,4.57191329217,-74.13901975274
357A12,Fundación Hospital San Carlos,4.57204734633,-74.10563648504
508A13,Br. San Cristóbal Sur,4.57206964159,-74.07959356479
067A11,Hsp. El Tunal,4.57212447093,-74.12942114191
379A13,Pq. Urbano San Cristóbal,4.57344716384,-74.08258208960
001A12,Funeraria Claret,4.57356136505,-74.12368693108
101B13,Br. Sociego,4.57356499991,-74.09222200014
120A11,Estación Eléctrica el Tunal,4.57358807807,-74.13993258037
459A12,Br. Granjas de San Pablo,4.57365136322,-74.11729668462
478A11,Br. Caracolí,4.57380310449,-74.17462938819
028A11,Pq. El Tunal,4.57388076778,-74.13747378809
368A11,Tunal Sector I,4.57410555569,-74.12755601239
534A13,Br. La María,4.57460099988,-74.08153999995
100B13,Hsp. San Cristóbal,4.57498013137,-74.09395230471
101A10,Br. La Unión Divino Niño,4.57541875257,-74.17071970371
026A11,INEM Tunal,4.57544697436,-74.13354394460
099A13,Hsp. San Cristóbal,4.57545219035,-74.09406345653
045A12,Br. Gustavo Restrepo,4.57546645155,-74.10249993301
258A13,Pq. Público San Cristóbal,4.57551524846,-74.08287058790
259A13,Br. La María,4.57582764260,-74.08303323131
586D13,Estación 1 de Mayo,4.57653199991,-74.09338600024
098A11,Br. Tunal Oriental,4.57688174784,-74.13990818891
121A11,CAI Tunal,4.57692049590,-74.13003093290
099A10,Br. Santa Viviana,4.57696380150,-74.17643050219
001A11,Br. Arborizadora Baja,4.57743543141,-74.14136230796
219A13,Br. Quinta Ramos,4.57761318006,-74.08763347017
069B11,CAI Tunal,4.57773186319,-74.13113689137
082B12,Br. Ciudad Jardín Sur,4.57855631169,-74.09824909993
450A12,Br. Ciudad Jardín Sur,4.57877455611,-74.09255008542
020A10,Br. Santa Lucía,4.57897871767,-74.12715222743
090A10,U. Distrital,4.57904614669,-74.15651226226
112A10,Br. Sierra Morena  Tv  73J,4.57923042709,-74.16997019501
113A10,Br. Sierra Morena,4.57933176263,-74.16734961136
024A11,Pquia. San Luis Gonzaga,4.57964620274,-74.12413900066
530A13,Colegio Isaac Newton,4.58020926041,-74.08890636895
093B10,Br. San Vicente Ferrer,4.58034339971,-74.14210070266
015B10,Urb. Kalamary,4.58058993575,-74.15102276550
015A10,Urb. Kalamary,4.58077037167,-74.15150790478
068A10,Conjunto Residencial Los Robles I,4.58078772069,-74.16118603716
390A11,Quiroga Central,4.58171411949,-74.11679365391
056A11,Br. Olaya,4.58177426478,-74.10823550080
017A10,Br. Murillo Toro,4.58179912345,-74.11839706381
304A13,Br. El Consuelo,4.58323136480,-74.06968967051
273A10,Br. Inglés,4.58325037371,-74.12016455463
063A11,Br. Restrepo,4.58378800029,-74.10365699963
447A13,Br. Los Laches,4.58379657609,-74.06709393693
353B10,Colmotores,4.58379839923,-74.14348673237
524A13,Br. Nariño Sur,4.58396325751,-74.08837126615
019A11,Br. Olaya,4.58421304726,-74.11000630247
163A10,Br. Inglés,4.58424973490,-74.12345189059
009A10,Br. El Carmen,4.58429829638,-74.13773869815
016A11,Estadio Olaya,4.58433457963,-74.10773686793
007B10,Br. Samore,4.58503518905,-74.13533736415
109A11,Centro Médico Cruz Blanca,4.58536504796,-74.10574478903
234A10,Rincón de Nuevo Muzú,4.58560899972,-74.14981799957
192A10,Br. Ismael Perdomo,4.58587920055,-74.16725612390
418A13,Br. Los Laches,4.58634911008,-74.06667703406
443A13,Br. Los Laches,4.58641560075,-74.06675514659
339A13,Br. Atanasio Girardot,4.58678943971,-74.07424116622
325A13,Br. Las Cruces,4.58687865662,-74.08219099182
421A11,IED Guillermo León Valencia,4.58691219637,-74.09629260267
186A10,Pq. Perdomo,4.58725615916,-74.17041852697
303A10,Br. Rincón de Galicia,4.58733625086,-74.17519037722
108A11,Br. Restrepo Occidental,4.58745748127,-74.10741432885
390A10,Br. Atlanta,4.58762162077,-74.15540662485
004A10,Br. Inglés,4.58767800015,-74.12620700004
107A11,Br. Santiago Pérez,4.58819190918,-74.10835721041
080A10,Br. Libertador,4.58831239679,-74.11636026999
081A10,Cementerio del Sur,4.58862621160,-74.11698919195
101B11,Br. Restrepo Occidental,4.58896274547,-74.10861660539
491A00,Colegio Benposta Nación de Muchachos,4.58901073052,-74.06344470652
199A10,Br. Galicia,4.58962919073,-74.17134779196
