route_id,route_short_name,route_long_name,route_type
2097,271,Ruta LOMAS - GRAN GRANADA,3
2293,16-13,Ruta PORTAL EL DORADO - AV. C. CALI - HAYUELOS,3
2102,540,Ruta SAN VICENTE - BACHUE,3
2104,T37,Ruta FONTANAR DEL RBO - GERMANIA,3
2118,23,Ruta OLARTE - CHAPINERO,3
2123,1-3,Ruta PORTAL 80 - VILLAS DE GRANADA,3
2140,E43,Ruta VILLA GLORIA - CHICO,3
2141,E17,Ruta VILLA GLORIA - CHICO,3
2325,T04,Ruta PORTAL SUR - TRES ESQUINAS,3
2143,T13,Ruta HOSPITAL SAN BLAS - VILLA CINDY,3
2145,11-4,Ruta PORTAL SUBA - AURES,3
2146,953,Ruta LA FISCALA ALTA - TIERRA BUENA,3
2149,270,Ruta LA ESTRELLITA - RIVERAS DE OCCIDENTE,3
2150,E70,Ruta COLINA - CASALOMA USME,3
2158,T30B,Ruta TIHUAQUE - PATIO BONITO,3
2159,T30B,Ruta PATIO BONITO - TIHUAQUE,3
2160,13-9,Ruta PORTAL 20 JULIO - TIHUAQUE,3
2170,403A,Ruta SABANA DEL DORADO - UNICENTRO,3
2326,6-3,Ruta PORTAL TUNAL - SIERRA MORENA,3
2179,C53,Ruta ACACIAS SUR - UNICENTRO,3
2187,11-8,Ruta PORTAL SUBA - LA GAITANA,3
2196,135,Ruta BOSQUE POPULAR - JACQUELINE,3
2198,492,Ruta PALERMO - ENGATIVA,3
2200,228,Ruta AGUAS CLARAS - VILLA TERESITA,3
2208,626B,Ruta GALAN - VILLA GLADYS,3
2209,107A,Ruta JAQUELINE - CHAPINERO,3
2212,C52,Ruta VILLA DEL RIO - EL RETIRO,3
2214,669,Ruta GALAN - GRAN GRANADA,3
2224,Z12,Ruta METROVIVIENDA - TEUSAQUILLO,3
2345,107A,Ruta CHAPINERO - JAQUELINE,3
2227,SE6,Ruta VILLA GLADYS - LA ROCA,3
2230,C101,Ruta PROVIDENCIA - EL PALMAR,3
2231,488,Ruta LOMAS - VENECIA,3
2233,674,Ruta PUERTA AL LLANO - FLORIDA,3
2237,39,Ruta PALMITAS - DIANA TURBAY,3
2238,10-3,Ruta PORTAL SUR - ALBAN CARBONELL,3
2266,105,Ruta BACHUE - BOITA,3
2267,669,Ruta GRAN GRANADA - GALAN,3
2273,2-1,Ruta PORTAL NORTE - MIRANDELA,3
2274,2-2,Ruta PORTAL NORTE - JARDINES,3
2275,T11,Ruta ALPES - CALLE 222,3
2276,E60,Ruta BOSA PALESTINA - CALLE 222,3
2396,TC17,Ruta RESTREPO - LOMAS,3
2281,T163,Ruta PERDOMO - CALLE 222,3
2283,736,Ruta PARAISO - CALLE 222,3
2285,465,Ruta BOSA SAN JOSE - SAN ANTONIO NORTE,3
2296,194,Ruta CASA BLANCA NORTE - CERROS DE ORIENTE,3
2299,148,Ruta DOLA LILIANA - VILLA TERESITA,3
2301,194,Ruta CERROS DE ORIENTE - CASA BLANCA NORTE,3
2303,189,Ruta CASA BLANCA NORTE - CERROS DE ORIENTE,3
2319,344,Ruta BILBAO - CANTON NORTE,3
2327,639,Ruta SANTO DOMINGO - CALLE 182,3
2329,Z7,Ruta ZN. IN ALAMOS - TOBERIN,3
2400,466,Ruta SABANA DEL DORADO - UNICENTRO,3
2331,E46,Ruta METROVIVIENDA - VERBENAL,3
2332,722,Ruta PALMITAS - SAN CRISTOBAL NORTE,3
2403,T53,Ruta ALCALA - COLINA,3
2334,E70,Ruta CASALOMA USME - COLINA,3
2413,11-6,Ruta PORTAL SUBA - LAS MERCEDES,3
2335,402,Ruta SABANA DEL DORADO - AUTO NORTE EST. TERMINAL,3
2342,T48,Ruta NUEVA CASTILLA - PUENTE ARANDA,3
2343,T50,Ruta LA MAGDALENA - GERMANIA,3
2355,E72,Ruta CATALINA II - CHICO NORTE,3
2358,C125,Ruta VILLA ALSACIA - EL CONSUELO,3
2363,2-10,Ruta PORTAL NORTE - VERBENAL,3
2415,13-7,Ruta PORTAL 20 JULIO - LA PENINSULA,3
2366,330,Ruta EL UVAL - LA ESTRELLITA,3
2367,950,Ruta TERMINAL - EL TUNO,3
2416,16-14,Ruta PORTAL EL DORADO - AEROPUERTO,3
2368,914B,Ruta BACHUE - RICAURTE,3
2418,8-5,Ruta BANDERAS - BIBLIOTECA TINTAL,3
2369,953,Ruta TIERRA BUENA - LA FISCALA ALTA,3
2371,736,Ruta CALLE 222 - PARAISO,3
2372,T11,Ruta CALLE 222 - ALPES,3
2374,Z7,Ruta TOBERIN - ZN. IN ALAMOS,3
2419,6-5C,Ruta PORTAL TUNAL - ARABIA,3
2375,P62,Ruta LOS ALPES - BOSA SANTA FE,3
2420,5-3,Ruta GRANJA - SERENA CEREZOS,3
2376,540,Ruta BACHUE - SAN VICENTE,3
2421,2-7,Ruta PORTAL NORTE - SAN JOSE,3
2377,C27,Ruta LA ESTANCIA - NORMANDIA,3
2422,2-8,Ruta PORTAL NORTE - EXPRESO ORIENTAL 170,3
2378,265,Ruta TIERRA BUENA - CHICO NORTE,3
2381,108,Ruta CIUDAD KENNEDY - BACHUE,3
2423,2-5,Ruta PORTAL NORTE - SAN CRISTOBAL,3
2382,192,Ruta UNICENTRO - CATALINA,3
2424,2-4,Ruta PORTAL NORTE - EL CODITO,3
2383,59B,Ruta CORTIJO - CHAPINERO,3
2428,1-4,Ruta PORTAL 80 - CORTIJO,3
2384,271,Ruta GRAN GRANADA - LOMAS,3
2429,14-1,Ruta BICENTENARIO - LAS CRUCES,3
2389,C25,Ruta SABANA DEL DORADO - UNICENTRO,3
2390,C25,Ruta UNICENTRO - SABANA DEL DORADO,3
2398,614,Ruta BOLONIA USME - MONTEVIDEO,3
2399,614,Ruta MONTEVIDEO - BOLONIA USME,3
2408,T38,Ruta METROVIVIENDA - CHAPINERO CENTRAL,3
2409,16-7,Ruta PORTAL EL DORADO - LA ESTANCIA,3
2410,18-2,Ruta BARRANCAS - PORCIUNCULA,3
2411,108,Ruta BACHUE - CIUDAD KENNEDY,3
2412,11-10,Ruta PORTAL SUBA - BILBAO,3
2414,13-12,Ruta PORTAL 20 JULIO - LOS LIBERTADORES,3
2434,T14-7,Ruta BICENTENARIO - AV 1 DE MAYO,3
2435,Z8,Ruta METROVIVIENDA - SAN CRISTEBAL NORTE,3
2437,Z13,Ruta METROVIVIENDA - SAN CRISTOBAL NORTE,3
2438,Z13,Ruta SAN CRISTOBAL NORTE - METROVIVIENDA,3
2441,C77,Ruta TINTALA - TIBABITA,3
2454,14-2,Ruta BICENTENARIO - UNIVERSIDADES,3
2442,C77,Ruta TIBABITA - TINTALA,3
2455,P3,Ruta CANADA GUIRA - AN BERNARDINO POTRERITOS,3
2450,621,Ruta SANTO DOMINGO - BACHUE,3
2458,577,Ruta DIANA TURBAY - EL PALMAR,3
2459,577,Ruta EL PALMAR - DIANA TURBAY,3
2460,T13,Ruta VILLA CINDY - HOSPITAL SAN BLAS,3
2465,C27,Ruta NORMANDIA - LA ESTANCIA,3
2478,E26B,Ruta CORPAS - CANTON NORTE,3
2466,621,Ruta BACHUE - SANTO DOMINGO,3
2468,E23,Ruta VILLA GLORIA - SANTA BARBARA,3
2483,E26B,Ruta CANTON NORTE - CORPAS,3
2469,189,Ruta CERROS DE ORIENTE - CASA BLANCA NORTE,3
2470,228,Ruta VILLA TERESITA - AGUAS CLARAS,3
2477,266,Ruta SAN JOAQUIN - LA ESTRELLITA,3
2479,P49,Ruta VILLA GLADYS - LIJACA,3
2480,320,Ruta VILLA CINDY - UNICENTRO,3
2482,266,Ruta LA ESTRELLITA - SAN JOAQUIN,3
2484,P49,Ruta LIJACA - VILLA GLADYS,3
2485,320,Ruta UNICENTRO - VILLA CINDY,3
2530,T06,Ruta LA SURE0A - PORCIUNCULA,3
2486,4,Ruta SAN FERNANDO - SAN LUIS,3
2488,13,Ruta BRASILIA - GERMANIA,3
2554,T07,Ruta AV 1 MAYO - SIDEL,3
2489,14,Ruta BETANIA - CHAPINERO CENTRAL,3
2555,T27,Ruta AV 1 MAYO - BELLO HORIZONTE,3
2490,15,Ruta BRASIL - MARLY,3
2493,128,Ruta VILLA GLADYS - CENTRO,3
2494,142,Ruta ENGATIVA - CENTRO,3
2495,143,Ruta LAS ACACIAS - GERMANIA,3
2496,256,Ruta RICAURTE - TIHUAQUE,3
2497,257,Ruta PUENTE GRANDE - GERMANIA,3
2498,385,Ruta CORTIJO - GERMANIA,3
2602,10-4,Ruta PORTAL SUR - BOSA LAURELES,3
2499,421,Ruta COLINA - PORCIUNCULA,3
2501,552,Ruta LA ESTANCIA - ARCHIVO DISTRITAL,3
2603,10-5,Ruta PORTAL SUR - TERMINAL SUR,3
2502,579,Ruta EL RECREO - CENTRO INTERNACIONAL,3
2503,593,Ruta METROVIVIENDA - CHICO,3
2504,652,Ruta EL UVAL - GERMANIA,3
2610,367,Ruta PORCIUNCULA - SAN BERNARDINO,3
2505,688,Ruta LA MAGDALENA - GERMANIA,3
2506,703,Ruta GALICIA - GERMANIA,3
2507,107B,Ruta COLINA - PARQUE CENTRAL BAVARIA,3
2509,193B,Ruta BACHUE - MARLY,3
2513,796A,Ruta MOCHUELO BAJO - TEUSAQUILLO,3
2514,C1,Ruta ROMA - GERMANIA,3
